"","product_id","flower","variety","days_to_germination","sowing","light_preference","soil_requirements","plant_spacing","hardiness_zones","harvest","uses","scientific_name","alternate_names","plant_height","soil","alternate_name","p_h","tips","transplant","direct_seed","dried","stem_length","scientific_names","vase_life","notes","pelleted_seed","direct_seed_recommended","fresh","note","cut_flowers","edible","soil_requirements_2","uses_2","growing_on","scientific_na_me","light_requirements","use","pods","edible_flowers","special_instructions","disease","note_in_hardiness_zones_9_10","planting_bulbs","storage_temperature","alternate_common_names","selection","store_bulbs_if_you_cant_plant_right_away","note_on_tulips_in_hardiness_zones_8_10","mulch","inspecting_your_bulbs","pests_and_diseases","x","light_preferences"
"65","1994","Celosia","Chief GoldCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1706","Celosia","Cramer's Lemon LimeCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1993","Celosia","Chief RoseCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1992","Celosia","Chief CarmineCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1770G","Celosia","Red FlameOrganic Celosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1991","Celosia","Chief FireCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1707","Celosia","Cramer's RoseCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1705","Celosia","Cramer's BurgundyCelosia Seed","8-14 days at 70-80°F (21-27°C).","Transplant: Sow 6-8 weeks before the last frost. Do not cover as light is required for germination. Bottom water or mist lightly to avoid covering the seeds with displaced soil. Grow seedlings at 63-68°F (17-20°C). Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside when the danger of frost has passed. Low temperatures and less than 12 hours of light can cause premature flowering.","Sun.","Well-drained, moist, fertile soil high in organic matter.","6-12"".","Annual.","Fresh: Harvest when flowers are fully developed. Dried: Remove foliage and hang to dry.","Excellent cut flower, fresh or dried. Borders, beds, and containers.","Celosia spp.","Cockscomb, crested cock's comb, prince of Wales feather, prince feather, wheat celosia, red fox",NA,NA,NA,NA,NA,NA,"Direct seed only in locations with a long growing season. Sow seeds 4"" apart, 1/8"" deep after the danger of frost has passed. Thin to 6-12"" apart.",NA,NA,NA,NA,NA,NA,NA,NA,"Pinching is not necessary for all species of Celosia, but is still recommended to increase branching (the number of stems and flower produced) and uniform flower size. Pinching is highly recommended for C. cristata and C. plumosa. To pinch, when plants are 8–12 inches tall, pinch the stem with your thumb and index finger or use sterilized scissors to remove the growing point.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1016","Centaurea (Bachelor's Button)","Choice MixCentaurea Seed","7-14 days at 60-65°F (16-18°C).","Direct seed (recommended): Sow seeds thinly in rows, 6 seeds per foot, 1/4"" deep, as soon as soil can be worked. Cover lightly. Keep soil surface moist until emergence. When seedlings have first true leaves, thin to 6-9"" apart.","Sun.","Any soil with good drainage. Tolerates poor soil of medium fertility.","2-9"".","Annual.","Fresh: When flowers are 1/4 to 1/2 open.","Cut flower, edible flower, and beneficial insect attractant. Can be used as dried flower, though blooms are quite small once dried. Effective when massed for color in beds and borders.","Centaurea cyanus",NA,NA,NA,NA,NA,NA,"Sow 3-4 weeks before last frost. Transplant into cell packs or larger containers when the first true leaves appear. Grow at 50-55°F (10-12°C) during the night for several weeks to develop a root ball.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1017","Centaurea (Bachelor's Button)","Florist Blue BoyCentaurea Seed","7-14 days at 60-65°F (16-18°C).","Direct seed (recommended): Sow seeds thinly in rows, 6 seeds per foot, 1/4"" deep, as soon as soil can be worked. Cover lightly. Keep soil surface moist until emergence. When seedlings have first true leaves, thin to 6-9"" apart.","Sun.","Any soil with good drainage. Tolerates poor soil of medium fertility.","2-9"".","Annual.","Fresh: When flowers are 1/4 to 1/2 open.","Cut flower, edible flower, and beneficial insect attractant. Can be used as dried flower, though blooms are quite small once dried. Effective when massed for color in beds and borders.","Centaurea cyanus",NA,NA,NA,NA,NA,NA,"Sow 3-4 weeks before last frost. Transplant into cell packs or larger containers when the first true leaves appear. Grow at 50-55°F (10-12°C) during the night for several weeks to develop a root ball.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3306","Centaurea (Bachelor's Button)","Classic MagicCentaurea Seed","7-14 days at 60-65°F (16-18°C).","Direct seed (recommended): Sow seeds thinly in rows, 6 seeds per foot, 1/4"" deep, as soon as soil can be worked. Cover lightly. Keep soil surface moist until emergence. When seedlings have first true leaves, thin to 6-9"" apart.","Sun.","Any soil with good drainage. Tolerates poor soil of medium fertility.","2-9"".","Annual.","Fresh: When flowers are 1/4 to 1/2 open.","Cut flower, edible flower, and beneficial insect attractant. Can be used as dried flower, though blooms are quite small once dried. Effective when massed for color in beds and borders.","Centaurea cyanus",NA,NA,NA,NA,NA,NA,"Sow 3-4 weeks before last frost. Transplant into cell packs or larger containers when the first true leaves appear. Grow at 50-55°F (10-12°C) during the night for several weeks to develop a root ball.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3435","Centaurea (Bachelor's Button)","Black ButtonCentaurea Seed","7-14 days at 60-65°F (16-18°C).","Direct seed (recommended): Sow seeds thinly in rows, 6 seeds per foot, 1/4"" deep, as soon as soil can be worked. Cover lightly. Keep soil surface moist until emergence. When seedlings have first true leaves, thin to 6-9"" apart.","Sun.","Any soil with good drainage. Tolerates poor soil of medium fertility.","2-9"".","Annual.","Fresh: When flowers are 1/4 to 1/2 open.","Cut flower, edible flower, and beneficial insect attractant. Can be used as dried flower, though blooms are quite small once dried. Effective when massed for color in beds and borders.","Centaurea cyanus",NA,NA,NA,NA,NA,NA,"Sow 3-4 weeks before last frost. Transplant into cell packs or larger containers when the first true leaves appear. Grow at 50-55°F (10-12°C) during the night for several weeks to develop a root ball.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1933","Cerinthe","Kiwi BlueCerinthe Seed","5-21 days at 65-85°F (18-29°C).","Transplant (recommended): Sow 6 weeks before last frost directly into cell packs. Harden off and transplant outside after the last frost.","Sun.","Well-drained soil of moderate fertility.","12-18"".","Annual.","Fresh: Harvest when bracts darken to blue and flowers are purple.","Cut flowers, beds, and borders. Attracts bees and hummingbirds.","Cerinthe major purpurascens","Honeywort",NA,NA,NA,NA,NA,NA,"Sow seeds 1/4"" deep after last frost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grow at 65-75°F (18-29°C). Fertilize regularly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4022","Clarkia","Elegant SalmonClarkia Seed","5-10 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 3-4 weeks before last frost. Lightly cover seeds with 1/16"" soil. Harden off seedlings before planting out after last frost. Direct seed - As soon as the soil can be worked. Gently press seeds into soil, covering with 1/16"" soil. Keep soil surface moist until emergence. Thin to 6-12"" once seedlings have first true leaves.","Sun/Part Shade.","Average, well drained soil.","6-12"".","Annual.","Harvesting stems when the lower set of blooms is just beginning to open. Older blooms will drop off the stem within about 5 days. Unopened buds on the stem will continue to open up in the vase.","Cut flowers, pollinator gardens, and border plant.","Clarkia unguiculata","Mountain garland","24-40"".",NA,NA,NA,"Plants may benefit from a horizontal trellis / support.",NA,NA,NA,"12-34"".",NA,"7-10 days.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","3308","Columbine","McKana Giants MixColumbine Seed","21-28 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Transplant out after last frost. Barely cover seed as light aids germination. Transplant to larger containers or cell packs when first true leaves appear. Direct seed - Sow once soil has warmed to 65°F (18°C). Sow directly into seed bed in groups of 3-4 seeds. Thin to one plant when true leaves appear. Winter mulching in cold climates, after the first frost is recommended to protect plants from heaving with the freeze and thaw cycles.","Part Shade. Will tolerate full sun where summers are cool and plants can be kept watered.","Prefers light shade and humus-rich, well-drained soil. Will tolerate full sun where summers are cool and plants can be kept watered.","10-15"".","Zones 3-9.","When half of the florets on a stem are open.","Cut Flower. Beds and borders.","Aquilegia spp.",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1119","Columbine","Barlow MixColumbine Seed","21-28 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Transplant out after last frost. Barely cover seed as light aids germination. Transplant to larger containers or cell packs when first true leaves appear. Direct seed - Sow once soil has warmed to 65°F (18°C). Sow directly into seed bed in groups of 3-4 seeds. Thin to one plant when true leaves appear. Winter mulching in cold climates, after the first frost is recommended to protect plants from heaving with the freeze and thaw cycles.","Part Shade. Will tolerate full sun where summers are cool and plants can be kept watered.","Prefers light shade and humus-rich, well-drained soil. Will tolerate full sun where summers are cool and plants can be kept watered.","10-15"".","Zones 3-9.","When half of the florets on a stem are open.","Cut Flower. Beds and borders.","Aquilegia spp.",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","3296","Columbine","Pink PetticoatColumbine Seed","21-28 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Transplant out after last frost. Barely cover seed as light aids germination. Transplant to larger containers or cell packs when first true leaves appear. Direct seed - Sow once soil has warmed to 65°F (18°C). Sow directly into seed bed in groups of 3-4 seeds. Thin to one plant when true leaves appear. Winter mulching in cold climates, after the first frost is recommended to protect plants from heaving with the freeze and thaw cycles.","Part Shade. Will tolerate full sun where summers are cool and plants can be kept watered.","Prefers light shade and humus-rich, well-drained soil. Will tolerate full sun where summers are cool and plants can be kept watered.","10-15"".","Zones 3-9.","When half of the florets on a stem are open.","Cut Flower. Beds and borders.","Aquilegia spp.",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","3295","Columbine","Nora BarlowColumbine Seed","21-28 days at 70-75°F (21-24°C)","Transplant (recommended) - Sow 8-10 weeks before last frost. Transplant out after last frost. Barely cover seed as light aids germination. Transplant to larger containers or cell packs when first true leaves appear. Direct seed - Sow once soil has warmed to 65°F (18°C). Sow directly into seed bed in groups of 3-4 seeds. Thin to one plant when true leaves appear. Winter mulching in cold climates, after the first frost is recommended to protect plants from heaving with the freeze and thaw cycles.","Part Shade. Will tolerate full sun where summers are cool and plants can be kept watered.","Prefers light shade and humus-rich, well-drained soil. Will tolerate full sun where summers are cool and plants can be kept watered.","10-15"".","Zones 3-9.","When half of the florets on a stem are open.","Cut Flower. Beds and borders.","Aquilegia spp.",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","3731","Cosmos","Double Click Snow PuffCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3443","Cosmos","Afternoon WhiteCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1780","Cosmos","Double Click MixCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1095","Cosmos","Versailles MixCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3438","Cosmos","RubenzaCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3398","Cosmos","Cupcakes BlushCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3450","Cosmos","XseniaCosmos Seed","7-10 days at 68-72°F (20-22°C). When planted outside, soil temperature must be above 60°F (16°C).","Direct seed: After last frost, once soil temperature is above 60°F (16°C), sow seed thinly in rows, barely covering the seeds. Thin when the first true leaves appear. Tall varieties may benefit from some wind protection. Transplant: Sow seed thinly, barely covering, 5-7 weeks before setting out. Keep soil moist until emergence. When the first true leaves appear transplant into larger containers. Harden off and transplant outdoors after the last frost.","Sun.","Any soil.","9-12"". Wider spacing creates stronger, thicker stems.","Annual.","Fresh: Harvest when petals on the first flower are just opening, but not yet flattened. Deadheading is required to have blooms all summer.","Excellent cut flowers. Beds, containers, and mass plantings.","Cosmos bipinnatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
